Question,Hint
タイムマシンで行くとしたら過去か未来か,
〇〇（教科名）は生きていく上で必要か，そうではないか。,
新商品を出しても売上が伸びません。改善策を模索してください,
１年中夏と，１年中冬ならどちらが良いか。,"all year round, throughout the year, year-round"
お弁当箱をZ世代の中で流行させるための施策を考えてください,
ペットを飼うことは子供にとって良いことか？,have/keep a pet
インターネットでの投票を導入すべきかどうか。,
専業主夫はあり？,"stay-at-home mum/dad, homemaker"
目の前に蚊が飛んでいるとき，殺すか，逃がすか。,
人の顔が覚えられないor過去の出来事が記憶できない,
席替えは先生が決めるべきか，それとも子供たちで決めるべきか。,
ペットは幸せといえるか,
ずっと同じことをしている単調な仕事or毎日職場も内容も変わる仕事※給料・勤務条件は同じ,drab
大人もお酒を飲むことを禁止すべきかどうか。,alcoholic beverage
公共の場所での喫煙は禁止するべきか？,
映画を配信ではなく映画館で見てもらうための案を考えてください,"broadcast, webcast"
SDGsに関わる自社の新サービスを立案してください,
男女の友情は成立するか？,
一生歯磨きしなくてもいい体orトイレに行かなくてもいい体,
好きだけど稼げない仕事or嫌いだけど稼げる仕事,well paid job/poorly paid job
校則の頭髪規定は正しいのか,
固定電話の新しい価値を創造してください,fixed (line) phone
人の心が読める力，ほしいかほしくないか。,
目の前の人の鼻毛が出ているとき，教えるか，教えないか。,nose hair
登校するのに，自転車を使っても良いかどうか。,
移民を受け入れるべきか,"immigration, immigrant, (emigration, emigrant, migration)"
学生にお小遣いは必要か，不要か。,allowance
う○こ味のカレーと，カレー味のう○こならどちらを食べるか。,shit
人間と他の動物の一番の違いは何か？,
並んでいて割り込まれたとき，注意するかしないか。,
共働き家庭はどんなサービスがあれば生活がよりよくなるか？,dual income family
ディズニー1日貸切or普通のディズニーに好きな芸能人と行ける,
何歳まで生きたいですか？,
救急車の無償利用をやめるべきか,
Y字路に立ったとき、「舗装された道」と「草木の多い道」どちらに進むか,"Y-junction, paved, lushly green/lush greenery"
社長と仲良しと社長以外みんなと仲良しではどちらが良いか。,
部屋に寒がりの人と暑がりの人がいるとき，エアコンの設定温度を上げるべきか下げるべきか。,preset temperature
結婚できるけどバイトしかしたらダメor仕事は何してもいいけど結婚は出来ない,
学生は年金の納付を免除されるべきか,payment of pension
ダイエットするなら「食事制限」か「トレーニング」か？,
時間とお金はどちらが大切か？,
新しいお店を出すならどんなお店？,
人生で重要なのは「お金」か「健康」か？,
通勤時間が1時間の職場or会社と同じ建物内に住む,commuting time
余命5年or不老不死,immortality
給食のときは黙って食べたほうが良いか，みんなで話をしながら食べたほうが良いか。,"eat in silence, talk over lunch, talk with one's mouth full"
10年後どんな人間になっていることが重要か？,
パワハラをなくすにはどうすればよいか？,abuse of authority
仕事は給料とやりがいのどちらが大切か,"salary, rewarding/worthwhile, challenging, satisfying"
「Bluetooth」と「有線」どちらのイヤホンの方が良いか,
民泊の法規制強化は必要かどうか？,"staying at a private home or room, tightening of regulations"
デートで着るなら，自分が気に入っている服か，恋人が気に入っているけれど好みでない服か。,
何でも聞いてくれる人と何でも決めてくれる人，どちらが好きか。,
新卒で採用するなら「明るさ」「真面目さ」「賢さ」どれを取りますか？,"earnest, honest, faithful, hardwoking"
企業の残業時間を減らすための施策を考えてください,"overtime/extra hours, measures/plan/solves"
社内の英語公用語化は効果があるか,official language
インドで自動販売機の設置数を増やすには？,vending machine
早期教育は行われるべきか？,
世の中に割り箸は必要か,disposable chopsticks
人間を複製するのは良いのか,
恋人に求めるのは「楽しさ」か「真面目さ」か？,
憲法9条を改正すべきか,"article 9 of the Constitution, amendments of the Constitution"
金持ちの家だけどめちゃくちゃ仲悪い家族or貧乏だけど友達ぐらい毎日楽しい家族,
時間が止められる力と，瞬間移動できる力，どちらが欲しいか。,
好きなアーティストのライブなら何度でもタダで行けるチケットor好きなアーティストが自分の為だけに歌ってくれる,
生まれ変わるなら「男性」か「女性」かどちらか？,
学歴は必要か,educational background
自分の命日を知れるとしたら知りたいかどうか。,anniversary of one's death
大切なのは「愛」か「友情」か？,
学校の授業はシャープペンで学習しても良いかどうか。,mechanical pencil
一生魚が食べられない体になるのと，一生すべての肉が食べられない体になるのとではどちらがいやか。,
働くことにはどんな価値がある？,
日本は司法取引制度を導入すべきかどうか？,plea bargain system
仕事とプライベートどちらが重要か？,
水曜日に休みを入れるべきかどうか。,
貧困に苦しむ国を救う方法を考えてください,suffer extreme poverty
食料品のオンラインショッピングは普及するか,spread
LINEを使っていて、既読スルーするのか有りか無しか？,leave on read
男性は家事に参加すべきかどうか？,housework
理想の見た目になれるのと，理想の学力になれるのではどちらが良いか。,
タクシーならいくら乗ってもタダor飛行機ならどこへ行ってもタダ,
暑い国と寒い国，住むならどちらか。,
お酒は飲まないほうがいいのか,alcoholic beverage
高級服飾店の紙袋，取っておくか捨てるか。,luxury clothing store
優先席だけが空いているとき，座るか座らないか。,priority seats
高校生は留学するべきか？,study abroad
うどんとラーメン、日本の代表的な国民食といえばどっち？,representative
人生とは何でしょうか？,
日本のごみ収集は全て有料化するべきかどうか？,
赤ちゃんのおむつ代，無料にすべきかどうか。,diaper
祝日を増やすべきか，減らすべきか。,national holiday
おいしくない料理をお腹いっぱい食べるのと，おいしいけど物足りない料理ではどちらが良いか。,
本は紙と電子のどちらが良いか,"paper books, e-books"
所要時間も金額も同じ場合、「電車」と「バス」どちらを利用するか,
SNSのフォロワー数は多い方が良いかどうか。,
ボロボロの古い家だけど理想の立地or理想の家だけどポツンと一軒家,
休日に行くなら動物園と水族館のどちらが良いか,aquarium
日本は高速道路を全面無料化すべきかどうか？,
目の前に１００円が落ちているとき，警察に届けるか，自分の物にするか。,
一ケ月連続で働いて一ケ月休みを繰り返す仕事or一日働いて一日休みを繰り返す仕事,
道州制を導入すべきか,regional political system(?)
公務員の給料は減らすべきか増やすべきか。,civil servant
首都を東京から大阪に移転すべきか,capital
人口の減少を食い止めるための施策を考えてください,measures/plan/solves
男性専用車両を導入すべきか,men-only car
視野がモノクロになるが，１ｋｍ先のものが見える力，ほしいかどうか。,
生まれ変わるなら人間以外何になりますか？,
一生米が食えないorパンが食えない,
国会を一院制にすべきか,"unicameral system, House of Representatives, House of Councilors"
「お金」か「友情」どちらの方が大切か？,
一生ホットドリンクだけor冷たいドリンクだけ(お酒は別),
スポーツは勝利を求めて限界までやるべきかどうか。,
部活動は必ず参加（所属）すべきかどうか。,
付き合う前から手をつなぐのはありか，なしか。,date
宿題をやってから遊ぶか，その逆か。,
在学中のアルバイトはしても良いかどうか。,"while attending ~, part-time job"
飲食店を出すにあたって大事なのは「立地」か「美味しさ」か？,"restaurant/eatery, cafe, diner"
老後に住むなら田舎か，都会か。,"urban, rural, (suburb)"
歩きタバコは有害か,harmful
理想の街にはどんな要素が含まれていますか？,
自社が力を入れるのは「リアル店舗」か「ECサイト」か？,
定年の年齢を引き上げるべきか,"mandatory retirement, retirement age"
小学校は給食かお弁当どちらが良いか？,"school lunch, bento"
男子トイレと女子トイレの区別をなくすべきかどうか。,
タイムマシンは存在するのか,
どちらかしか生きられないとしたら昼と夜のどちらを選ぶか。,
裁判員制度を継続すべきか,lay judge system
子どもにスマートフォンは必要か,
ガスが1ヶ月止められるor水が1ヶ月止められる,
食の好みが合う人と，笑いの種類が合う人ならどちらの人と付き合いたいか。,"taste preference, sense of humor"
歌の才能と絵の才能，どちらが欲しいか。,
回線速度は今以上に早くなるべきか,transmission speed
鯛焼きを食べるなら頭or尻尾,
外見か性格どちらかが大切か,"appearance, personality"
企業が大事にすべきは主力商品か新商品か？,
勉強ができるなら上の学年に進級（飛び級）しても良いかどうか。,
明日から…10年坊主or10年金髪,
コンビニで何も買わずにトイレだけ借りるのはあり？,
全家庭への新聞代を無料にすべきかどうか。,
IT技術の発展により人々は思考をしなくなるのか,
結婚することは幸せなのかどうか,
マンションか一軒家どちらに住みたいか？,"condominium, house"
手に入るならどこでもドアかタイムマシンか,
